Filename,Number,Old Formula,New Formula
I.29.16,29,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),sqrt(x1**2+x2**2-2*x1*x2*cos(x0-x3))
I.30.3,30,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,x0*sin(x2*x1/2)**2/sin(x1/2)**2
I.30.5,31,arcsin(lambd/(n*d)),arcsin(x0/(x2*x1))
I.32.5,32,q**2*a**2/(6*pi*epsilon*c**3),x0**2*x1**2/(6*pi*x2*x3**3)
I.32.17,33,(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),(1/2*x0*x1*x2**2)*(8*pi*x3**2/3)*(x4**4/(x4**2-x5**2)**2)
I.34.8,34,q*v*B/p,x0*x1*x2/x3
I.34.1,35,omega_0/(1-v/c),x2/(1-x1/x0)
I.34.14,36,(1+v/c)/sqrt(1-v**2/c**2)*omega_0,(1+x1/x0)/sqrt(1-x1**2/x0**2)*x2
I.34.27,37,(h/(2*pi))*omega,(x1/(2*pi))*x0
I.37.4,38,I1+I2+2*sqrt(I1*I2)*cos(delta),x0+x1+2*sqrt(x0*x1)*cos(x2)
I.38.12,39,4*pi*epsilon*(h/(2*pi))**2/(m*q**2),4*pi*x3*(x2/(2*pi))**2/(x0*x1**2)
I.39.1,40,3/2*pr*V,3/2*x0*x1
I.39.11,41,1/(gamma-1)*pr*V,1/(x0-1)*x1*x2
I.39.22,42,n*kb*T/V,x0*x3*x1/x2
I.40.1,43,n_0*exp(-m*g*x/(kb*T)),x0*exp(-x1*x4*x2/(x5*x3))
I.41.16,44,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1)),x2/(2*pi)*x0**3/(pi**2*x4**2*(exp((x2/(2*pi))*x0/(x3*x1))-1))
I.43.16,45,mu_drift*q*Volt/d,x0*x1*x2/x3
I.43.31,46,mob*kb*T,x0*x2*x1
I.43.43,47,1/(gamma-1)*kb*v/A,1/(x0-1)*x1*x3/x2
I.44.4,48,n*kb*T*ln(V2/V1),x0*x1*x2*ln(x4/x3)
I.47.23,49,sqrt(gamma*pr/rho),sqrt(x0*x1/x2)
I.48.2,50,m*c**2/sqrt(1-v**2/c**2),x0*x2**2/sqrt(1-x1**2/x2**2)
I.50.26,51,x1*(cos(omega*t)+alpha*cos(omega*t)**2),x1*(cos(x0*x2)+x3*cos(x0*x2)**2)
II.2.42,52,kappa*(T2-T1)*A/d,x0*(x2-x1)*x3/x4
II.3.24,53,Pwr/(4*pi*r**2),x0/(4*pi*x1**2)
II.4.23,54,q/(4*pi*epsilon*r),x0/(4*pi*x1*x2)
II.6.11,55,1/(4*pi*epsilon)*p_d*cos(theta)/r**2,1/(4*pi*x0)*x1*cos(x2)/x3**2
II.6.15a,56,p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),x1/(4*pi*x0)*3*x5/x2**5*sqrt(x3**2+x4**2)
II.6.15b,57,p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,x1/(4*pi*x0)*3*cos(x2)*sin(x2)/x3**3
II.8.7,58,3/5*q**2/(4*pi*epsilon*d),3/5*x0**2/(4*pi*x1*x2)
II.8.31,59,epsilon*Ef**2/2,x0*x1**2/2
II.10.9,60,sigma_den/epsilon*1/(1+chi),x0/x1*1/(1+x2)
II.11.3,61,q*Ef/(m*(omega_0**2-omega**2)),x0*x1/(x2*(x3**2-x4**2))
II.11.17,62,n_0*(1+p_d*Ef*cos(theta)/(kb*T)),x0*(1+x4*x5*cos(x3)/(x1*x2))
II.11.20,63,n_rho*p_d**2*Ef/(3*kb*T),x0*x1**2*x2/(3*x3*x4)
II.11.27,64,n*alpha/(1-(n*alpha/3))*epsilon*Ef,x0*x1/(1-(x0*x1/3))*x2*x3
II.11.28,65,1+n*alpha/(1-(n*alpha/3)),1+x0*x1/(1-(x0*x1/3))
II.13.17,66,1/(4*pi*epsilon*c**2)*2*I/r,1/(4*pi*x0*x1**2)*2*x2/x3
II.13.23,67,rho_c_0/sqrt(1-v**2/c**2),x0/sqrt(1-x1**2/x2**2)
II.13.34,68,rho_c_0*v/sqrt(1-v**2/c**2),x0*x1/sqrt(1-x1**2/x2**2)
II.15.4,69,-mom*B*cos(theta),-x0*x1*cos(x2)
II.15.5,70,-p_d*Ef*cos(theta),-x0*x1*cos(x2)
II.21.32,71,q/(4*pi*epsilon*r*(1-v/c)),x0/(4*pi*x1*x2*(1-x3/x4))
II.24.17,72,sqrt(omega**2/c**2-pi**2/d**2),sqrt(x0**2/x1**2-pi**2/x2**2)
II.27.16,73,epsilon*c*Ef**2,x0*x1*x2**2
II.27.18,74,epsilon*Ef**2,x0*x1**2
II.34.2a,75,q*v/(2*pi*r),x0*x1/(2*pi*x2)
II.34.2,76,q*v*r/2,x0*x1*x2/2
II.34.11,77,g_*q*B/(2*m),x0*x1*x2/(2*x3)
II.34.29a,78,q*h/(4*pi*m),x0*x1/(4*pi*x2)
II.34.29b,79,g_*mom*B*Jz/(h/(2*pi)),x0*x3*x4*x2/(x1/(2*pi))
II.35.18,80,n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),x0/(exp(x3*x4/(x1*x2))+exp(-x3*x4/(x1*x2)))
II.35.21,81,n_rho*mom*tanh(mom*B/(kb*T)),x0*x1*tanh(x1*x2/(x3*x4))
II.36.38,82,mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,x0*x1/(x2*x3)+(x0*x4)/(x5*x6**2*x2*x3)*x7
II.37.1,83,mom*(1+chi)*B,x0*(1+x2)*x1
II.38.3,84,Y*A*x/d,x0*x1*x3/x2
II.38.14,85,Y/(2*(1+sigma)),x0/(2*(1+x1))
III.4.32,86,1/(exp((h/(2*pi))*omega/(kb*T))-1),1/(exp((x0/(2*pi))*x1/(x2*x3))-1)
III.4.33,87,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),(x0/(2*pi))*x1/(exp((x0/(2*pi))*x1/(x2*x3))-1)
III.7.38,88,2*mom*B/(h/(2*pi)),2*x0*x1/(x2/(2*pi))
III.8.54,89,sin(E_n*t/(h/(2*pi)))**2,sin(x0*x1/(x2/(2*pi)))**2
III.9.52,90,(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,(x0*x1*x2/(x3/(2*pi)))*sin((x4-x5)*x2/2)**2/((x4-x5)*x2/2)**2
III.10.19,91,mom*sqrt(Bx**2+By**2+Bz**2),x0*sqrt(x1**2+x2**2+x3**2)
III.12.43,92,n*(h/(2*pi)),x0*(x1/(2*pi))
III.13.18,93,2*E_n*d**2*k/(h/(2*pi)),2*x0*x1**2*x2/(x3/(2*pi))
III.14.14,94,I_0*(exp(q*Volt/(kb*T))-1),x0*(exp(x1*x2/(x3*x4))-1)
III.15.12,95,2*U*(1-cos(k*d)),2*x0*(1-cos(x1*x2))
III.15.14,96,(h/(2*pi))**2/(2*E_n*d**2),(x0/(2*pi))**2/(2*x1*x2**2)
III.15.27,97,2*pi*alpha/(n*d),2*pi*x0/(x1*x2)
III.17.37,98,beta*(1+alpha*cos(theta)),x0*(1+x1*cos(x2))
III.19.51,99,-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),-x0*x1**4/(2*(4*pi*x4)**2*(x2/(2*pi))**2)*(1/x3**2)
III.21.20,100,-rho_c_0*q*A_vec/m,-x0*x1*x2/x3
AIFeyn_test_1,101,(Z_1*Z_2*alpha*hbar*c/(4*E_n*sin(theta/2)**2))**2,(x0*x1*x2*x3*x4/(4*x5*sin(x6/2)**2))**2
AIFeyn_test_2,102,m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2)),x0*x1/x2**2*(1+sqrt(1+2*x3*x2**2/(x0*x1**2))*cos(x4-x5))
AIFeyn_test_3,103,d*(1-alpha**2)/(1+alpha*cos(theta1-theta2)),x0*(1-x1**2)/(1+x1*cos(x2-x3))
AIFeyn_test_4,104,sqrt(2/m*(E_n-U-L**2/(2*m*r**2))),sqrt(2/x0*(x1-x2-x3**2/(2*x0*x4**2)))
AIFeyn_test_5,105,2*pi*d**(3/2)/sqrt(G*(m1+m2)),2*pi*x0**(3/2)/sqrt(x1*(x2+x3))
AIFeyn_test_6,106,sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2)),sqrt(1+2*x0**2*x6*x1**2/(x2*(x3*x4*x5**2)**2))
AIFeyn_test_7,107,sqrt(8*pi*G*rho/3-alpha*c**2/d**2),sqrt(8*pi*x0*x1/3-x2*x3**2/x4**2)
AIFeyn_test_8,108,E_n/(1+E_n/(m*c**2)*(1-cos(theta))),x0/(1+x0/(x1*x2**2)*(1-cos(x3)))
AIFeyn_test_9,109,-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5,-32/5*x0**4/x1**5*(x2*x3)**2*(x2+x3)/x4**5
AIFeyn_test_10,110,arccos((cos(theta2)-v/c)/(1-v/c*cos(theta2))),arccos((cos(x2)-x1/x0)/(1-x1/x0*cos(x2)))
AIFeyn_test_11,111,I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2,x0*(sin(x1/2)*sin(x3*x2/2)/(x1/2*sin(x2/2)))**2
AIFeyn_test_12,112,q/(4*pi*epsilon*y**2)*(4*pi*epsilon*Volt*d-q*d*y**3/(y**2-d**2)**2),x0/(4*pi*x4*x1**2)*(4*pi*x4*x2*x3-x0*x3*x1**3/(x1**2-x3**2)**2)
AIFeyn_test_13,113,1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha)),1/(4*pi*x4)*x0/sqrt(x1**2+x2**2-2*x1*x2*cos(x3))
AIFeyn_test_14,114,Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2)),x0*cos(x1)*(-x2+x3**3/x2**2*(x4-1)/(x4+2))
AIFeyn_test_15,115,sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta)),sqrt(1-x1**2/x0**2)*x2/(1+x1/x0*cos(x3))
AIFeyn_test_16,116,sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt,sqrt((x2-x3*x4)**2*x1**2+x0**2*x1**4)+x3*x5
AIFeyn_test_17,117,1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y)),1/(2*x0)*(x2**2+x0**2*x1**2*x4**2*(1+x5*x4/x3))
AIFeyn_test_18,118,3/(8*pi*G)*(c**2*k_f/r**2+H_G**2),3/(8*pi*x0)*(x4**2*x1/x2**2+x3**2)
AIFeyn_test_19,119,-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha)),-1/(8*pi*x0)*(x5**4*x1/x2**2+x3**2*x5**2*(1-2*x4))
AIFeyn_test_20,120,1/(4*pi)*alpha**2*h**2/(m**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(beta)**2),1/(4*pi)*x2**2*x3**2/(x4**2*x5**2)*(x1/x0)**2*(x1/x0+x0/x1-sin(x6)**2)
Wiki_1,121,sqrt((K + (4/3)*mu)/rho),sqrt((x0+(4/3)*x1)/x2)
Wiki_2,122,sqrt(mu/rho),sqrt(x0/x1)
Wiki_3,123,vp**2 - 4/3*vs**2,x0**2-4/3*x1**2
Wiki_4,124,K*W*L/H,x0*x1*x2/x3
Wiki_5,125,P*pi*a**2*dV,x0*pi*x1**2*x2
Wiki_6,126,2*pi*a**3*dQ/3,2*pi*x0**3*x1/3
Wiki_7,127,A*exp(-Ea/(R*T)),x0*exp(-x1/(x2*x3))
Wiki_8,128,A*(T/T0)**n*exp(-Ea/(R*T)),x0*(x1/x2)**x3*exp(-x4/(x5*x1))
Wiki_9,129,A*exp(-(Ea/(R*T))**beta),x0*exp(-(x1/(x2*x3))**x4)
Wiki_10,130,(kB*T/h)*exp(dG/(R*T)),(x0*x1/x2)*exp(x3/(x4*x1))
Wiki_11,131,-k*T*log(Zn),-x0*x1*log(x2)
Wiki_12,132,1-exp(-k*t**n),1-exp(-x0*x1**x2)
Wiki_13,133,rho*R*T+(B0*R*T-A0-C0/T**2)*rho**2+(b*R*T-a)*rho**3+alpha*a*rho**6+(c*rho**3/T**2)*(1+gamma*rho**2)*exp(-gamma*rho**2),x0*x1*x2+(x3*x1*x2-x4-x5/x2**2)*x0**2+(x6*x1*x2-x7)*x0**3+x8*x7*x0**6+(x9*x0**3/x2**2)*(1+x10*x0**2)*exp(-x10*x0**2)
Wiki_14,134,v**2/2+psi+P/rho,x1**2/2+x2+x3/x0
Wiki_15,135,rho*v**2/2+rho*g*z+p,x0*x1**2/2+x0*x2*x3+x4
Wiki_16,136,q+rho*g*h,x0+x1*x2*x3
Wiki_17,137,p0+rho*g*z,x0+x1*x2*x3
Wiki_18,138,rho*v**2/2,x0*x1**2/2
Wiki_19,139,z+p/(rho*g),x0+x1/(x2*x3)
Wiki_20,140,z+p/(rho*g)+v**2/(2*g),x0+x1/(x2*x3)+x4**2/(2*x3)
Wiki_21,141,v**2/2+g*z+(gamma/(gamma-1))*(p/rho),v**2/2+x1*x2+(x3/(x3-1))*(x4/x5)
Wiki_22,142,v**2/2+Psi+w,v**2/2+x1+x2
Wiki_23,143,(3*B0/2)*((V0/V)**(7/3)-(V0/V)**(5/3))*(1+(3/4)*(BP0-4)*((V0/V)**(2/3)-1)),(3*x0/2)*((x1/x2)**(7/3)-(x1/x2)**(5/3))*(1+(3/4)*(x3-4)*((x1/x2)**(2/3)-1))
Wiki_24,144,(1/2)*((V/V0)**(-2/3)-1),(1/2)*((x0/x1)**(-2/3)-1)
Wiki_25,145,E0+(9*V0*B0/16)*(((V0/V)**(2/3)-1)**3*BP0+((V0/V)**(2/3)-1)**2*(6-4*(V0/V)**(2/3))),x0+(9*x1*x3/16)*(((x1/x2)**(2/3)-1)**3*x4+((x1/x2)**(2/3)-1)**2*(6-4*(x1/x2)**(2/3)))
Wiki_26,146,A*j**(-n)*exp(Q/(k*T)),x0*x1**(-x2)*exp(x3/(x4*x5))
Wiki_27,147,p*(0.457*Tm+8.128),x0*(0.457*x1+8.128)
Wiki_28,148,(rho/2)*(1-A1/A2)**2*v1**2,(x0/2)*(1-x1/x2)**2*x3**2
Wiki_29,149,DE/(rho*g),x0/(x1*x2)
Wiki_30,150,p**2/(2*m)+V,x0**2/(2*x1)+x2
Wiki_31,151,R0*(1+A*T+B*T**2+(T-100)*C*T**3),x0*(1+x1*x4+x2*x4**2+(x4-100)*x3*x4**3)
Wiki_32,152,(1+r)/(1+r-2*r*p),(1+x0)/(1+x0-2*x0*x1)
Wiki_33,153,B+C/lambda**2+D/lambda**4,x0+x1/x3**2+x2/x3**4
Wiki_34,154,C/s,x0/x1
Wiki_35,155,C/sqrt(s),x0/sqrt(x1)
Wiki_36,156,C*s,x0*x1
Wiki_37,157,a/(s**2+a**2),x0/(x1**2+x0**2)
Wiki_38,158,0.3+(0.62*sqrt(Re)*Pr**(1/3))*(1+(Re/282000)**(5/8))**(4/5)/(1+(0.4/Pr)**(2/3))**(1/4),0.3+(0.62*sqrt(x0)*x1**(1/3))*(1+(x0/282000)**(5/8))**(4/5)/(1+(0.4/x1)**(2/3))**(1/4)
Wiki_39,159,fD*L*rho*V**2/D/2,x0*x1*x3*x2**2/x4/2
Wiki_40,160,exp(-(z**2*q**2*kappa)/(8*pi*epsilonr*epsilon0*kB*T)),exp(-(x0**2*x1**2*x2)/(8*pi*x3*x4*x5*x6))
Wiki_41,161,(1+Dv/c)*f0,(1+x0/x1)*x2
