Filename;Number;Output;Formula;# variables;v1_name;v1_low;v1_high;v2_name;v2_low;v2_high;v3_name;v3_low;v3_high;v4_name;v4_low;v4_high;v5_name;v5_low;v5_high;v6_name;v6_low;v6_high;v7_name;v7_low;v7_high;v8_name;v8_low;v8_high;v9_name;v9_low;v9_high;v10_name;v10_low;v10_high;v11_name;v11_low;v12_high;
I.14.4;16;U;1/2*k_spring*x**2;2;k_spring;1;5;x;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.15.3x;17;x1;(x-u*t)/sqrt(1-u**2/c**2);4;x;5;10;u;1;2;c;3;20;t;1;2;;;;;;;;;;;;;;;;;;;;;;
I.15.3t;18;t1;(t-u*x/c**2)/sqrt(1-u**2/c**2);4;x;1;5;c;3;10;u;1;2;t;1;5;;;;;;;;;;;;;;;;;;;;;;
I.15.1;19;p;m_0*v/sqrt(1-v**2/c**2);3;m_0;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;;;;;;;
I.16.6;20;v1;(u+v)/(1+u*v/c**2);3;c;1;5;v;1;5;u;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.18.4;21;r;(m1*r1+m2*r2)/(m1+m2);4;m1;1;5;m2;1;5;r1;1;5;r2;1;5;;;;;;;;;;;;;;;;;;;;;;
I.18.12;22;tau;r*F*sin(theta);2;r;1;5;F;1;5;theta;0;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.18.14;23;L;m*r*v*sin(theta);3;m;1;5;r;1;5;v;1;5;theta;1;5;;;;;;;;;;;;;;;;;;;;;;
I.24.6;24;E_n;1/2*m*(omega**2+omega_0**2)*1/2*x**2;4;m;1;3;omega;1;3;omega_0;1;3;x;1;3;;;;;;;;;;;;;;;;;;;;;;
I.25.13;25;Volt;q/C;2;q;1;5;C;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.26.2;26;theta1;arcsin(n*sin(theta2));2;n;0;1;theta2;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.27.6;27;foc;1/(1/d1+n/d2);3;d1;1;5;d2;1;5;n;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.29.4;28;k;omega/c;2;omega;1;10;c;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.29.16;29;x;sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2));4;x1;1;5;x2;1;5;theta1;1;5;theta2;1;5;;;;;;;;;;;;;;;;;;;;;;
I.30.3;30;Int;Int_0*sin(n*theta/2)**2/sin(theta/2)**2;3;Int_0;1;5;theta;1;5;n;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.30.5;31;theta;arcsin(lambd/(n*d));3;lambd;1;2;d;2;5;n;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.32.5;32;Pwr;q**2*a**2/(6*pi*epsilon*c**3);4;q;1;5;a;1;5;epsilon;1;5;c;1;5;;;;;;;;;;;;;;;;;;;;;;
I.32.17;33;Pwr;(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2);6;epsilon;1;2;c;1;2;Ef;1;2;r;1;2;omega;1;2;omega_0;3;5;;;;;;;;;;;;;;;;
I.34.8;34;omega;q*v*B/p;4;q;1;5;v;1;5;B;1;5;p;1;5;;;;;;;;;;;;;;;;;;;;;;
I.34.1;35;omega;omega_0/(1-v/c);3;c;3;10;v;1;2;omega_0;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.34.14;36;omega;(1+v/c)/sqrt(1-v**2/c**2)*omega_0;3;c;3;10;v;1;2;omega_0;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.34.27;37;E_n;(h/(2*pi))*omega;2;omega;1;5;h;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.37.4;38;Int;I1+I2+2*sqrt(I1*I2)*cos(delta);3;I1;1;5;I2;1;5;delta;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.38.12;39;r;4*pi*epsilon*(h/(2*pi))**2/(m*q**2);3;m;1;5;q;1;5;h;1;5;epsilon;1;5;;;;;;;;;;;;;;;;;;;;;;
I.39.1;40;E_n;3/2*pr*V;2;pr;1;5;V;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I.39.11;41;E_n;1/(gamma-1)*pr*V;3;gamma;2;5;pr;1;5;V;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.39.22;42;pr;n*kb*T/V;4;n;1;5;T;1;5;V;1;5;kb;1;5;;;;;;;;;;;;;;;;;;;;;;
I.40.1;43;n;n_0*exp(-m*g*x/(kb*T));6;n_0;1;5;m;1;5;x;1;5;T;1;5;g;1;5;kb;1;5;;;;;;;;;;;;;;;;
I.41.16;44;L_rad;h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(kb*T))-1));5;omega;1;5;T;1;5;h;1;5;kb;1;5;c;1;5;;;;;;;;;;;;;;;;;;;
I.43.16;45;v;mu_drift*q*Volt/d;4;mu_drift;1;5;q;1;5;Volt;1;5;d;1;5;;;;;;;;;;;;;;;;;;;;;;
I.43.31;46;D;mob*kb*T;3;mob;1;5;T;1;5;kb;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.43.43;47;kappa;1/(gamma-1)*kb*v/A;4;gamma;2;5;kb;1;5;A;1;5;v;1;5;;;;;;;;;;;;;;;;;;;;;;
I.44.4;48;E_n;n*kb*T*ln(V2/V1);5;n;1;5;kb;1;5;T;1;5;V1;1;5;V2;1;5;;;;;;;;;;;;;;;;;;;
I.47.23;49;c;sqrt(gamma*pr/rho);3;gamma;1;5;pr;1;5;rho;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
I.48.2;50;E_n;m*c**2/sqrt(1-v**2/c**2);3;m;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;;;;;;;
I.50.26;51;x;x1*(cos(omega*t)+alpha*cos(omega*t)**2);4;x1;1;3;omega;1;3;t;1;3;alpha;1;3;;;;;;;;;;;;;;;;;;;;;;
II.2.42;52;Pwr;kappa*(T2-T1)*A/d;5;kappa;1;5;T1;1;5;T2;1;5;A;1;5;d;1;5;;;;;;;;;;;;;;;;;;;
II.3.24;53;flux;Pwr/(4*pi*r**2);2;Pwr;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II.4.23;54;Volt;q/(4*pi*epsilon*r);3;q;1;5;epsilon;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.6.11;55;Volt;1/(4*pi*epsilon)*p_d*cos(theta)/r**2;4;epsilon;1;3;p_d;1;3;theta;1;3;r;1;3;;;;;;;;;;;;;;;;;;;;;;
II.6.15a;56;Ef;p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2);6;epsilon;1;3;p_d;1;3;r;1;3;x;1;3;y;1;3;z;1;3;;;;;;;;;;;;;;;;
II.6.15b;57;Ef;p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3;4;epsilon;1;3;p_d;1;3;theta;1;3;r;1;3;;;;;;;;;;;;;;;;;;;;;;
II.8.7;58;E_n;3/5*q**2/(4*pi*epsilon*d);3;q;1;5;epsilon;1;5;d;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.8.31;59;E_den;epsilon*Ef**2/2;2;epsilon;1;5;Ef;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II.10.9;60;Ef;sigma_den/epsilon*1/(1+chi);3;sigma_den;1;5;epsilon;1;5;chi;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.11.3;61;x;q*Ef/(m*(omega_0**2-omega**2));5;q;1;3;Ef;1;3;m;1;3;omega_0;3;5;omega;1;2;;;;;;;;;;;;;;;;;;;
II.11.17;62;n;n_0*(1+p_d*Ef*cos(theta)/(kb*T));6;n_0;1;3;kb;1;3;T;1;3;theta;1;3;p_d;1;3;Ef;1;3;;;;;;;;;;;;;;;;
II.11.20;63;Pol;n_rho*p_d**2*Ef/(3*kb*T);5;n_rho;1;5;p_d;1;5;Ef;1;5;kb;1;5;T;1;5;;;;;;;;;;;;;;;;;;;
II.11.27;64;Pol;n*alpha/(1-(n*alpha/3))*epsilon*Ef;4;n;0;1;alpha;0;1;epsilon;1;2;Ef;1;2;;;;;;;;;;;;;;;;;;;;;;
II.11.28;65;theta;1+n*alpha/(1-(n*alpha/3));2;n;0;1;alpha;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II.13.17;66;B;1/(4*pi*epsilon*c**2)*2*I/r;4;epsilon;1;5;c;1;5;I;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;
II.13.23;67;rho_c;rho_c_0/sqrt(1-v**2/c**2);3;rho_c_0;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;;;;;;;
II.13.34;68;j;rho_c_0*v/sqrt(1-v**2/c**2);3;rho_c_0;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;;;;;;;
II.15.4;69;E_n;-mom*B*cos(theta);3;mom;1;5;B;1;5;theta;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.15.5;70;E_n;-p_d*Ef*cos(theta);3;p_d;1;5;Ef;1;5;theta;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.21.32;71;Volt;q/(4*pi*epsilon*r*(1-v/c));5;q;1;5;epsilon;1;5;r;1;5;v;1;2;c;3;10;;;;;;;;;;;;;;;;;;;
II.24.17;72;k;sqrt(omega**2/c**2-pi**2/d**2);3;omega;4;6;c;1;2;d;2;4;;;;;;;;;;;;;;;;;;;;;;;;;
II.27.16;73;flux;epsilon*c*Ef**2;3;epsilon;1;5;c;1;5;Ef;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.27.18;74;E_den;epsilon*Ef**2;2;epsilon;1;5;Ef;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
II.34.2a;75;I;q*v/(2*pi*r);3;q;1;5;v;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.34.2;76;mom;q*v*r/2;3;q;1;5;v;1;5;r;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.34.11;77;omega;g_*q*B/(2*m);4;g_;1;5;q;1;5;B;1;5;m;1;5;;;;;;;;;;;;;;;;;;;;;;
II.34.29a;78;mom;q*h/(4*pi*m);3;q;1;5;h;1;5;m;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.34.29b;79;E_n;g_*mom*B*Jz/(h/(2*pi));5;g_;1;5;h;1;5;Jz;1;5;mom;1;5;B;1;5;;;;;;;;;;;;;;;;;;;
II.35.18;80;n;n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T)));5;n_0;1;3;kb;1;3;T;1;3;mom;1;3;B;1;3;;;;;;;;;;;;;;;;;;;
II.35.21;81;M;n_rho*mom*tanh(mom*B/(kb*T));5;n_rho;1;5;mom;1;5;B;1;5;kb;1;5;T;1;5;;;;;;;;;;;;;;;;;;;
II.36.38;82;f;mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M;8;mom;1;3;H;1;3;kb;1;3;T;1;3;alpha;1;3;epsilon;1;3;c;1;3;M;1;3;;;;;;;;;;
II.37.1;83;E_n;mom*(1+chi)*B;6;mom;1;5;B;1;5;chi;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
II.38.3;84;F;Y*A*x/d;4;Y;1;5;A;1;5;d;1;5;x;1;5;;;;;;;;;;;;;;;;;;;;;;
II.38.14;85;mu_S;Y/(2*(1+sigma));2;Y;1;5;sigma;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III.4.32;86;n;1/(exp((h/(2*pi))*omega/(kb*T))-1);4;h;1;5;omega;1;5;kb;1;5;T;1;5;;;;;;;;;;;;;;;;;;;;;;
III.4.33;87;E_n;(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1);4;h;1;5;omega;1;5;kb;1;5;T;1;5;;;;;;;;;;;;;;;;;;;;;;
III.7.38;88;omega;2*mom*B/(h/(2*pi));3;mom;1;5;B;1;5;h;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
III.8.54;89;prob;sin(E_n*t/(h/(2*pi)))**2;3;E_n;1;2;t;1;2;h;1;4;;;;;;;;;;;;;;;;;;;;;;;;;
III.9.52;90;prob;(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2;6;p_d;1;3;Ef;1;3;t;1;3;h;1;3;omega;1;5;omega_0;1;5;;;;;;;;;;;;;;;;
III.10.19;91;E_n;mom*sqrt(Bx**2+By**2+Bz**2);3;mom;1;5;Bx;1;5;By;1;5;Bz;1;5;;;;;;;;;;;;;;;;;;;;;;
III.12.43;92;L;n*(h/(2*pi));2;n;1;5;h;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
III.13.18;93;v;2*E_n*d**2*k/(h/(2*pi));4;E_n;1;5;d;1;5;k;1;5;h;1;5;;;;;;;;;;;;;;;;;;;;;;
III.14.14;94;I;I_0*(exp(q*Volt/(kb*T))-1);5;I_0;1;5;q;1;2;Volt;1;2;kb;1;2;T;1;2;;;;;;;;;;;;;;;;;;;
III.15.12;95;E_n;2*U*(1-cos(k*d));3;U;1;5;k;1;5;d;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
III.15.14;96;m;(h/(2*pi))**2/(2*E_n*d**2);3;h;1;5;E_n;1;5;d;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
III.15.27;97;k;2*pi*alpha/(n*d);3;alpha;1;5;n;1;5;d;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
III.17.37;98;f;beta*(1+alpha*cos(theta));3;beta;1;5;alpha;1;5;theta;1;5;;;;;;;;;;;;;;;;;;;;;;;;;
III.19.51;99;E_n;-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2);4;m;1;5;q;1;5;h;1;5;n;1;5;epsilon;1;5;;;;;;;;;;;;;;;;;;;
III.21.20;100;j;-rho_c_0*q*A_vec/m;4;rho_c_0;1;5;q;1;5;A_vec;1;5;m;1;5;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_1;101;A;(Z_1*Z_2*alpha*hbar*c/(4*E_n*sin(theta/2)**2))**2;7;Z_1;1;2;Z_2;1;2;alpha;1;2;hbar;1;2;c;1;2;E_n;1;3;theta;1;3;;;;;;;;;;;;;
AIFeyn_test_2;102;k;m*k_G/L**2*(1+sqrt(1+2*E_n*L**2/(m*k_G**2))*cos(theta1-theta2));6;m;1;3;k_G;1;3;L;1;3;E_n;1;3;theta1;0;6;theta2;0;6;;;;;;;;;;;;;;;;
AIFeyn_test_3;103;r;d*(1-alpha**2)/(1+alpha*cos(theta1-theta2));4;d;1;3;alpha;2;4;theta1;4;5;theta2;4;5;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_4;104;v;sqrt(2/m*(E_n-U-L**2/(2*m*r**2)));5;m;1;3;E_n;8;12;U;1;3;L;1;3;r;1;3;;;;;;;;;;;;;;;;;;;
AIFeyn_test_5;105;t;2*pi*d**(3/2)/sqrt(G*(m1+m2));4;d;1;3;G;1;3;m1;1;3;m2;1;3;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_6;106;alpha;sqrt(1+2*epsilon**2*E_n*L**2/(m*(Z_1*Z_2*q**2)**2));7;epsilon;1;3;L;1;3;m;1;3;Z_1;1;3;Z_2;1;3;q;1;3;E_n;1;3;;;;;;;;;;;;;
AIFeyn_test_7;107;H_G;sqrt(8*pi*G*rho/3-alpha*c**2/d**2);5;G;1;3;rho;1;3;alpha;1;2;c;1;2;d;1;3;;;;;;;;;;;;;;;;;;;
AIFeyn_test_8;108;K;E_n/(1+E_n/(m*c**2)*(1-cos(theta)));4;E_n;1;3;m;1;3;c;1;3;theta;1;3;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_9;109;Pwr;-32/5*G**4/c**5*(m1*m2)**2*(m1+m2)/r**5;5;G;1;2;c;1;2;m1;1;5;m2;1;5;r;1;2;;;;;;;;;;;;;;;;;;;
AIFeyn_test_10;110;theta1;arccos((cos(theta2)-v/c)/(1-v/c*cos(theta2)));3;c;4;6;v;1;3;theta2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_11;111;I;I_0*(sin(alpha/2)*sin(n*delta/2)/(alpha/2*sin(delta/2)))**2;4;I_0;1;3;alpha;1;3;delta;1;3;n;1;2;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_12;112;F;q/(4*pi*epsilon*y**2)*(4*pi*epsilon*Volt*d-q*d*y**3/(y**2-d**2)**2);4;q;1;5;y;1;3;Volt;1;5;d;4;6;epsilon;1;5;;;;;;;;;;;;;;;;;;;
AIFeyn_test_13;113;Volt;1/(4*pi*epsilon)*q/sqrt(r**2+d**2-2*r*d*cos(alpha));4;q;1;5;r;1;3;d;4;6;alpha;0;6;epsilon;1;5;;;;;;;;;;;;;;;;;;;
AIFeyn_test_14;114;Volt;Ef*cos(theta)*(-r+d**3/r**2*(alpha-1)/(alpha+2));5;Ef;1;5;theta;0;6;r;1;5;d;1;5;alpha;1;5;;;;;;;;;;;;;;;;;;;
AIFeyn_test_15;115;omega_0;sqrt(1-v**2/c**2)*omega/(1+v/c*cos(theta));4;c;5;20;v;1;3;omega;1;5;theta;0;6;;;;;;;;;;;;;;;;;;;;;;
AIFeyn_test_16;116;E_n;sqrt((p-q*A_vec)**2*c**2+m**2*c**4)+q*Volt;6;m;1;5;c;1;5;p;1;5;q;1;5;A_vec;1;5;Volt;1;5;;;;;;;;;;;;;;;;
AIFeyn_test_17;117;E_n;1/(2*m)*(p**2+m**2*omega**2*x**2*(1+alpha*x/y));6;m;1;5;omega;1;5;p;1;5;y;1;5;x;1;5;alpha;1;5;;;;;;;;;;;;;;;;
AIFeyn_test_18;118;rho_0;3/(8*pi*G)*(c**2*k_f/r**2+H_G**2);4;G;1;5;k_f;1;5;r;1;5;H_G;1;5;c;1;5;;;;;;;;;;;;;;;;;;;
AIFeyn_test_19;119;pr;-1/(8*pi*G)*(c**4*k_f/r**2+H_G**2*c**2*(1-2*alpha));5;G;1;5;k_f;1;5;r;1;5;H_G;1;5;alpha;1;5;c;1;5;;;;;;;;;;;;;;;;
AIFeyn_test_20;120;A;1/(4*pi)*alpha**2*h**2/(m**2*c**2)*(omega_0/omega)**2*(omega_0/omega+omega/omega_0-sin(beta)**2);7;omega;1;5;omega_0;1;5;alpha;1;5;h;1;5;m;1;5;c;1;5;beta;0;6;;;;;;;;;;;;;
Wiki_1;121;vp;sqrt((K + (4/3)*mu)/rho);3;K;;;mu;;;rho;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_2;122;vs;sqrt(mu/rho);2;mu;;;rho;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_3;123;phi;vp**2 - 4/3*vs**2;2;vp;;;vs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_4;124;Q;K*W*L/H;4;K;;;W;;;L;;;H;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_5;125;dW;P*pi*a**2*dV;3;P;;;a;;;dV;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_6;126;dV;2*pi*a**3*dQ/3;2;a;;;dQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_7;127;k;A*exp(-Ea/(R*T));4;A;;;Ea;;;R;;;T;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_8;128;k;A*(T/T0)**n*exp(-Ea/(R*T));6;A;;;T;;;T0;;;n;;;Ea;;;R;;;;;;;;;;;;;;;;;;
Wiki_9;129;k;A*exp(-(Ea/(R*T))**beta);5;A;;;Ea;;;R;;;T;;;beta;;;;;;;;;;;;;;;;;;;;;
Wiki_10;130;k;(kB*T/h)*exp(dG/(R*T));6;kB;;;T;;;h;;;dG;;;R;;;T;;;;;;;;;;;;;;;;;;
Wiki_11;131;An;-k*T*log(Zn);3;k;;;T;;;Zn;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_12;132;Y;1-exp(-k*t**n);3;k;;;t;;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_13;133;P;rho*R*T+(B0*R*T-A0-C0/T**2)*rho**2+(b*R*T-a)*rho**3+alpha*a*rho**6+(c*rho**3/T**2)*(1+gamma*rho**2)*exp(-gamma*rho**2);11;rho;;;R ;;;T ;;;B0 ;;;A0 ;;;C0 ;;;b;;;a;;;alpha;;;c;;;gamma;;;
Wiki_14;134;c1;v**2/2+psi+P/rho;4;rho;;;v ;;;psi;;;P;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_15;135;c2;rho*v**2/2+rho*g*z+p;5;rho;;;v ;;;g;;;z ;;;p;;;;;;;;;;;;;;;;;;;;;
Wiki_16;136;c3;q+rho*g*h;4;q;;;rho;;;g;;;h;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_17;137;c4;p0+rho*g*z;4;p0;;;rho;;;g;;;z ;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_18;138;q;rho*v**2/2;2;rho;;;v;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_19;139;h;z+p/(rho*g);4;z;;;p;;;rho;;;g;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_20;140;H;z+p/(rho*g)+v**2/(2*g);5;z;;;p;;;rho;;;g;;;v;;;;;;;;;;;;;;;;;;;;;
Wiki_21;141;c5;v**2/2+g*z+(gamma/(gamma-1))*(p/rho);6;v;;;g;;;z;;;gamma;;;p;;;rho;;;;;;;;;;;;;;;;;;
Wiki_22;142;c6;v**2/2+Psi+w;3;v;;;Psi;;;w;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_23;143;P;(3*B0/2)*((V0/V)**(7/3)-(V0/V)**(5/3))*(1+(3/4)*(BP0-4)*((V0/V)**(2/3)-1));4;B0;;;V0;;;V;;;BP0;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_24;144;f;(1/2)*((V/V0)**(-2/3)-1);2;V ;;;V0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_25;145;E;E0+(9*V0*B0/16)*(((V0/V)**(2/3)-1)**3*BP0+((V0/V)**(2/3)-1)**2*(6-4*(V0/V)**(2/3)));5;E0;;;V0;;;V;;;B0;;;BP0;;;;;;;;;;;;;;;;;;;;;
Wiki_26;146;MTTF;A*j**(-n)*exp(Q/(k*T));6;A;;;j;;;n;;;Q;;;k;;;T;;;;;;;;;;;;;;;;;;
Wiki_27;147;ET0;p*(0.457*Tm+8.128);2;p;;;Tm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_28;148;DE;(rho/2)*(1-A1/A2)**2*v1**2;4;rho;;;A1;;;A2;;;v1;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_29;149;DH;DE/(rho*g);3;DE;;;rho;;;g;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_30;150;H0;p**2/(2*m)+V;3;p;;;m ;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_31;151;R;R0*(1+A*T+B*T**2+(T-100)*C*T**3);5;R0;;;A;;;B;;;C;;;T;;;;;;;;;;;;;;;;;;;;;
Wiki_32;152;Xn;(1+r)/(1+r-2*r*p);2;r;;;p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_33;153;n;B+C/lambda**2+D/lambda**4;4;B ;;;C;;;D;;;lambda;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_34;154;kappa;C/s;2;C;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_35;155;kappa;C/sqrt(s);2;C;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_36;156;kappa;C*s;2;C;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_37;157;kappa;a/(s**2+a**2);2;a;;;s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_38;158;NuD;0.3+(0.62*sqrt(Re)*Pr**(1/3))*(1+(Re/282000)**(5/8))**(4/5)/(1+(0.4/Pr)**(2/3))**(1/4);2;Re;;;Pr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiki_39;159;Dp;fD*L*rho*V**2/D/2;5;fD;;;L;;;V;;;rho;;;D;;;;;;;;;;;;;;;;;;;;;
Wiki_40;160;gamma;exp(-(z**2*q**2*kappa)/(8*pi*epsilonr*epsilon0*kB*T));7;z;;;q;;;kappa;;;epsilonr;;;epsilon0;;;kB;;;T;;;;;;;;;;;;;;;
Wiki_41;161;f;(1+Dv/c)*f0;3;Dv;;;c;;;f0;;;;;;;;;;;;;;;;;;;;;;;;;;;
